"uuid","status","human_answer","human_difficulty","score","user_id"
"c971b9d3-4194-4183-bbfa-85b1709b8707","commented","[""G""]","hard","1","164"
"52386840-2b24-40a7-ae43-890232100e36","commented","[""F""]","medium","0","182"
"1eb40c47-fe5a-4f6a-ab2a-3c59b0954a13","commented","[""B""]","hard","0","155"
"0b78ff9f-c33d-4016-b886-57e411eba825","commented","[""A""]","hard","0","143"
"09c693c6-b0e9-4bcc-8570-c4d028ed2f33","commented","[""D""]","easy","1","172"
"9b6853d9-ee00-4b2d-badf-dea457696f2b","commented","[""A""]","easy","1","167"
"e3e26f0a-e688-498a-95e0-9920f3cd96ce","commented","[""C""]","easy","1","229"
"744199e6-a14d-4589-b3fc-0a21ffce30da","commented","[""A""]","medium","1","240"
"e190c9c0-23c9-435a-93a7-c7f59f5e04cf","commented","[""A""]","medium","1","152"
"ee9f394f-9826-44aa-bed9-160df1e1cc7b","commented","[""G""]","hard","0","157"
"a7cd7bba-8bf5-43f9-89be-9e2e9d584589","commented","[""C""]","medium","1","259"
"59be7582-2231-4dc9-950c-f803b84b5d2c","commented","[""A""]","easy","1","214"
"ff58e478-faca-41e1-844b-d73c080d12c2","commented","[""A""]","hard","0","160"
"59b7c81d-c5be-4dde-b4e0-f59f5c623fe6","commented","[""B""]","medium","1","141"
"3f3dd112-13f4-4fbb-a52e-28d9e8815252","commented","[""I""]","hard","0","203"
"3fd1542f-5007-4de9-b291-b6baac385bcb","commented","[""G""]","hard","1","279"
"d5b1c2fa-a4ba-4018-b8be-92054a51dc6e","commented","[""A""]","easy","1","222"
"754eee61-08f7-485b-8c67-603f1bfaa8fc","commented","[""M""]","medium","0","225"
"1631b661-b885-44d1-8aac-08b52e6d70b4","commented","[""C""]","medium","0","204"
"40034552-973e-4da4-8c8d-c244c84ed1bf","commented","[""D""]","easy","1","262"
"ba2ad9f6-e71f-4322-a097-c3ab063b57fa","commented","[""B""]","hard","1","258"
"94a028c2-0701-4d68-90a9-c31e011e90fa","commented","[""A""]","easy","0","224"
"ad2eaf3c-0d16-4c5d-bb5f-ce198e58b5e1","commented","[""A""]","easy","1","184"
"1dde3c14-4b18-412b-a213-b8101a02382c","commented","[""C""]","hard","0","160"
"b823521d-2698-40ff-85b9-7c650f373753","commented","[""K""]","medium","1","252"
"a577e3fe-2a08-402b-ad79-25c9e3b4f2a0","commented","[""E""]","easy","1","149"
"3bc88fff-8bea-46ee-bb6b-949a5aebe001","commented","[""A""]","medium","1","286"
"cb9608b1-a8db-43a6-93ab-aad3cc3dcc96","commented","[""C""]","easy","0","250"
"36067bc5-fcaf-4c38-96b8-9e7bf0c2f552","commented","[""F""]","hard","0","275"
"0f94e85a-8205-412f-814f-844dd902634f","commented","[""B""]","easy","0","173"
"85769907-8d39-4b82-8f8f-301e41502d22","commented","[""E""]","hard","0","170"
"d4f487f0-e2fa-4c97-8cc2-5833d1fb796a","commented","[""A""]","medium","0","208"
"91437f8f-9cea-4d95-8909-fd0c9e7a5e04","commented","[""H""]","medium","1","310"
"10d3dea5-0069-4a91-a8f4-61b5aad0ab86","commented","[""F""]","medium","0","220"
"78c99f29-aaf7-4986-b0b8-3fef9afd41d4","commented","[""E""]","medium","1","193"
"a2c8a95e-0281-4c26-afc0-8ad2010adb87","commented","[""G""]","hard","1","205"
"ce33b1b4-6c97-45b7-b3a2-64f0aaf4a81a","commented","[""A""]","easy","1","186"
"0d108be3-eeed-47ad-b9df-ac42991cfb74","commented","[""C""]","hard","0","195"
"aa72ccf7-16d2-46e5-b830-b138d5155a1a","commented","[""A""]","medium","1","270"
"c8c17383-28c0-4745-b740-14b660679ceb","commented","[""A""]","easy","1","239"
"3a005dcc-c7a6-411c-84d8-04523fbbb2f9","commented","[""A""]","easy","1","165"
"7103c6ac-2457-4eae-861f-b83b45539357","commented","[""I""]","medium","0","264"
"842740df-40a2-4884-8504-cdfa25467a97","commented","[""A""]","medium","0","295"
"4832b03d-5468-47f1-b816-b2a1960aa0b5","commented","[""B""]","medium","1","235"
"f350aaeb-0afc-4e30-b542-850bb5461534","commented","[""B""]","medium","0","221"
"b53fe8ea-4264-49c9-b71e-53e095f83f49","commented","[""F""]","medium","0","153"
"1370a99d-bb9b-4ebe-bbf1-5b3f01691c08","commented","[""B""]","hard","1","280"
"1226d404-7863-4c59-819d-d219c9460315","commented","[""E""]","easy","0","185"
"c9f69725-7239-466b-ae22-e551ff64f295","commented","[""F""]","hard","0","278"
"8efcd3ac-7235-4267-99ca-cd5956c2ae9b","commented","[""A""]","medium","1","151"
"c5be1407-f7ea-4f91-bf19-5d8755064199","commented","[""F""]","hard","0","307"
"726282ab-32c1-4b3e-a4c2-47ed065a1bc7","commented","[""A""]","easy","1","260"
"dfb5dc86-5c9b-4009-a434-79724c4f0314","commented","[""F""]","medium","0","169"
"b39939e7-7420-4dcb-86c3-39f3704f40d0","commented","[""D""]","hard","0","253"
"73689925-550e-4481-9189-339817f96757","commented","[""E""]","easy","1","188"
"d4afdb66-d2e7-4548-bab9-b7f8d9f84e3c","commented","[""D""]","easy","1","296"
"7a6628bb-9f43-4ec2-a00d-7008c968cae2","commented","[""A""]","hard","0","210"
"335437db-cb49-47b3-8c98-411981519879","commented","[""D""]","easy","1","233"
"55285475-ebb9-4a9d-bae6-23cebbba5dac","commented","[""D""]","medium","1","288"
"b1a74341-0134-4b3c-907c-da898bbf916a","commented","[""D""]","medium","1","159"
"8a1143d1-e819-43b7-922b-533b3554c25b","commented","[""H""]","medium","0","268"
"7efceebd-f78c-46dc-b852-30b423bf1295","commented","[""A""]","easy","1","312"
"9f49f1f9-3caa-4ff4-9a88-e2681766f5eb","commented","[""E""]","hard","1","255"
"450e73a8-8930-4f08-b4d3-07e24ed97a0d","commented","[""A""]","medium","0","198"
"c4c77bbb-3b2e-414e-b6af-c8eb446685dd","commented","[""E""]","medium","0","273"
"05ba7cae-3682-44dd-9018-f1bff6001ef3","commented","[""A""]","hard","0","226"
"374a1ad6-9b5a-4ada-9944-26ead15dcc96","commented","[""A""]","medium","0","202"
"0f1ceba6-5a93-42b0-a1a7-0b5ee2dcfd46","commented","[""A""]","medium","0","166"
"5a12bc03-c65a-4d31-870b-69097ab9fc04","commented","[""O""]","hard","0","232"
"8904e2d1-921b-439d-83b2-ae8d910f6bfb","commented","[""B""]","medium","0","197"
"84128cc3-ea33-4e73-b476-8c174362d244","commented","[""C""]","hard","0","301"
"099e4ad5-67ad-4776-84ca-3f71b5171821","answered","[""D""]","","0","145"
"3029c9a4-5719-47aa-aa12-1660650274e5","commented","[""A""]","easy","0","261"
"88f64b62-c6b9-4ae3-bdc4-135fe62e5d00","commented","[""G""]","hard","0","257"
"5c3527d9-ee9b-4179-9461-2f4da3b41f78","commented","[""E""]","hard","1","249"
"edba6c00-52ba-42f2-91f0-31c0010c1b2e","commented","[""B""]","easy","1","147"
"99929bc7-1bea-430e-932b-cfebea81ac5e","commented","[""D""]","medium","0","254"
"556ac154-364a-4224-a645-120ea8fbcf84","answered","[""L""]","","0","291"
"e8ea1b69-d865-4e01-8f88-ddf94eac2315","commented","[""D""]","medium","0","201"
"b7424229-6614-437b-86b2-a8b92f395e9f","commented","[""E""]","easy","0","162"
"9281e599-9ec7-48bb-ae3b-67ef6aa4f8c2","commented","[""F""]","medium","0","238"
"729370bf-d496-44b2-8d16-5297b231425e","commented","[""F""]","easy","0","299"
"804d167b-c9b7-4441-9af2-5a76240a7771","commented","[""F""]","medium","0","200"
"7e715a90-e88e-4c24-956c-4174f15626ef","commented","[""D""]","easy","1","176"
"0a2129a1-9844-43e9-bd51-3af984640362","commented","[""A""]","easy","1","246"
"461b6245-8c81-4335-897d-c017c8d765dd","commented","[""E""]","hard","1","223"
"fa7cfc50-350c-4d0c-8922-51d5c422993a","commented","[""E""]","hard","0","189"
"4ebb6825-0403-4be7-a15b-e972e76190fd","commented","[""I""]","hard","0","244"
"c329578f-9b74-4182-911a-7114f2b9ff12","commented","[""A""]","easy","0","281"
"ecb2cfd9-bd48-4dd6-b217-1d9df862fcd2","commented","[""J""]","medium","1","274"
"89b2d318-f08d-4104-a7e9-b63f262b824a","commented","[""D""]","medium","1","219"
"fd63ecf4-294e-4eaa-9897-05446f1ee9e5","commented","[""D""]","medium","1","247"
"e985d4ee-81bc-4b3b-9639-d7fea5338d9d","commented","[""D""]","easy","1","144"
"e9039322-3841-4dfe-834d-abd66cc984ab","commented","[""B""]","medium","0","311"
"bc947827-b024-4410-9dd4-2817c30690be","commented","[""E""]","easy","1","276"
"445c4de4-e7b9-4378-a253-e95e7b6814ee","commented","[""A""]","medium","0","234"
"021c1e1a-49a5-404b-931f-6a271e2811f7","commented","[""B""]","medium","1","313"
"771cb2c6-422a-4fd5-980d-15e74b82d138","commented","[""E""]","medium","1","265"
"44284912-9582-4cdd-9ce2-af6fe592c81b","commented","[""C""]","easy","0","146"
"72246f2a-277c-41a4-8129-8b31c729e2a0","commented","[""J""]","hard","0","300"
"81dc5360-c29d-4619-931c-4f7e6e6f552a","commented","[""A""]","easy","0","178"
"8bddb9f4-efe9-4d6f-a11f-d485dabffd1f","commented","[""G""]","hard","0","237"
"5ce5f84a-3db4-4b31-87ae-00853bd5492b","commented","[""B""]","easy","1","284"
"f6476c79-f206-45df-b9ce-922c0484f101","commented","[""A""]","easy","0","183"
"e5fb3b80-84c1-4f7a-91f4-526ec83d445e","commented","[""H""]","medium","0","158"
"d49b66d0-c416-48b0-8021-46446e6b8a4b","commented","[""E""]","medium","1","231"
"c1822272-71b3-4164-9d57-3a3f729fcec0","commented","[""B""]","medium","0","272"
"8f14727e-f04c-4661-b6a3-a2588975a922","commented","[""C""]","medium","0","256"
"19ce8dbc-1276-4d6d-a9e2-50f965e23eaa","commented","[""B""]","easy","1","241"
"842c1354-ed06-4239-8d51-6bea92cf8575","commented","[""A""]","hard","1","297"
"67da53ab-e1a3-4624-bf3b-065512239c7c","commented","[""D""]","medium","0","190"
"1e0fc6ce-ee70-4b88-830c-0cd9484303c2","commented","[""C""]","easy","1","181"
"83539cf3-c9dc-4824-92b9-c8f1c56fa13d","commented","[""E""]","medium","1","293"
"38ce9a5f-812d-4ab7-a38f-2085c79e723e","commented","[""A""]","medium","1","142"
"b0011c99-9e19-48d8-9990-dd067361eb08","commented","[""O""]","easy","1","191"
"a7ae9c5c-3221-4f47-be8a-f18acd2ba544","commented","[""P""]","medium","0","154"
"ec054602-56cb-40b7-b43a-fca053c16f44","commented","[""G""]","easy","1","171"
"83cb74f9-09bc-4cff-a32e-9d7bb51953f5","commented","[""C""]","easy","0","303"
"159f3bab-732e-43e7-83ba-ca2f6fbce7fc","commented","[""I""]","easy","1","248"
"e63abead-314c-4772-ab13-382c9aa3cfa6","commented","[""B""]","medium","1","213"
"84c04f55-55a7-4822-8d97-258f418e38d5","answered","[""E""]","","1","267"
"3e72484f-9553-460d-b171-61d2b3382cb5","commented","[""D""]","easy","0","251"
"b0a8691a-11ec-4722-b030-6b9d8654509c","commented","[""F""]","easy","1","283"
"10d4e65f-b828-4cc2-8001-bf84cd47c9e9","commented","[""E""]","easy","1","141"
"64b6f985-38f6-487a-a65b-b0ef60485dfc","commented","[""B""]","medium","0","217"
"deca1bfb-1baf-437e-8157-9cfb839abf2e","commented","[""E""]","medium","1","315"
"9104ca46-b2fc-4b0b-9df6-251f49b1fa6d","answered","[""C""]","","0","150"
